127.0.0.1, 2018-04-19 17:36:13, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-19 17:36:15, GET, /admin/default/site, HTTP/1.1, 303, 0.006000
127.0.0.1, 2018-04-19 17:36:15, GET, /admin/default/index, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-04-19 17:36:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-19 17:36:17, POST, /admin/default/index, HTTP/1.1, 303, 0.022000
127.0.0.1, 2018-04-19 17:36:17, GET, /admin/default/site, HTTP/1.1, 200, 0.082000
127.0.0.1, 2018-04-19 17:36:17, GET, /admin/static/_2.16.1/images/folder.png, HTTP/1.1, 200, 0.029000
127.0.0.1, 2018-04-19 17:36:17, GET, /admin/static/_2.16.1/images/folder_locked.png, HTTP/1.1, 200, 0.028000
127.0.0.1, 2018-04-19 17:36:17, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-04-19 17:36:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-19 17:36:18, POST, /admin/default/check_version, HTTP/1.1, 200, 0.672000
127.0.0.1, 2018-04-19 17:36:19, GET, /welcome/default/index, HTTP/1.1, 200, 0.159000
127.0.0.1, 2018-04-19 17:36:22, GET, /admin/default/site, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-04-19 17:36:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-19 17:36:23, GET, /admin/default/index, HTTP/1.1, 303, 0.011000
127.0.0.1, 2018-04-19 17:36:23, GET, /admin/default/site, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-04-19 17:36:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-19 17:36:24, GET, /start/default/index, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-04-19 17:36:24, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-19 18:12:15, GET, /admin/default/design/start, HTTP/1.1, 200, 0.638000
127.0.0.1, 2018-04-19 18:12:15, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-04-19 18:12:15, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-04-19 18:12:15, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-04-19 18:12:15, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-04-19 18:12:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-19 18:12:31, GET, /start/default/index, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-04-19 18:12:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-19 18:12:35, GET, /start/default/index, HTTP/1.1, 200, 0.242000
127.0.0.1, 2018-04-19 18:12:35, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-19 18:12:36, GET, /admin/default/site, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-04-19 18:12:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-19 18:12:43, GET, /start/default/index, HTTP/1.1, 200, 0.069000
127.0.0.1, 2018-04-19 18:12:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-19 18:15:47, GET, /start/default/index, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-04-19 18:15:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-19 18:22:33, GET, /start, HTTP/1.1, 200, 0.021000
127.0.0.1, 2018-04-19 18:22:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-19 18:22:40, GET, /start/default, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-04-19 18:22:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-19 18:22:44, GET, /start/default/index, HTTP/1.1, 200, 0.024000
127.0.0.1, 2018-04-19 18:22:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-19 18:25:23, GET, /start/default/index, HTTP/1.1, 500, 5.573000
127.0.0.1, 2018-04-19 18:25:23, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-19 18:25:25, GET, /admin/default/ticket/unknown, HTTP/1.1, 303, 0.033000
127.0.0.1, 2018-04-19 18:25:25, GET, /admin/default/site, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-04-19 18:25:26, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-04-19 18:25:29, GET, /admin/default/index, HTTP/1.1, 303, 0.011000
127.0.0.1, 2018-04-19 18:25:29, GET, /admin/default/site, HTTP/1.1, 200, 0.032000
127.0.0.1, 2018-04-19 18:25:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-04-19 18:25:31, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2018-04-19 18:25:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.042000
