127.0.0.1, 2018-04-19 22:03:35, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002633
127.0.0.1, 2018-04-19 22:03:35, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002742
127.0.0.1, 2018-04-19 22:03:35, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002233
127.0.0.1, 2018-04-19 22:03:35, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001356
127.0.0.1, 2018-04-19 22:03:35, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003062
127.0.0.1, 2018-04-19 22:03:36, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000912
127.0.0.1, 2018-04-19 22:03:36, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000818
127.0.0.1, 2018-04-19 22:03:36, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.032595
127.0.0.1, 2018-04-19 22:03:37, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001613
127.0.0.1, 2018-04-19 22:03:37, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001469
127.0.0.1, 2018-04-19 22:03:37, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000899
127.0.0.1, 2018-04-19 22:03:37, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001030
127.0.0.1, 2018-04-19 22:03:41, GET, /examples/default/index, HTTP/1.1, 200, 0.033255
127.0.0.1, 2018-04-19 22:03:41, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001493
127.0.0.1, 2018-04-19 22:03:41, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.005409
127.0.0.1, 2018-04-19 22:03:41, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.000715
127.0.0.1, 2018-04-19 22:03:41, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000738
127.0.0.1, 2018-04-19 22:03:41, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000716
127.0.0.1, 2018-04-19 22:03:41, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.005321
127.0.0.1, 2018-04-19 22:03:41, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.004058
127.0.0.1, 2018-04-19 22:03:41, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.001191
127.0.0.1, 2018-04-19 22:03:41, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001028
127.0.0.1, 2018-04-19 22:03:41, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000913
127.0.0.1, 2018-04-19 22:03:41, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000604
127.0.0.1, 2018-04-19 22:03:41, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000711
127.0.0.1, 2018-04-19 22:03:41, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000931
127.0.0.1, 2018-04-19 22:03:43, GET, /welcome/default/index, HTTP/1.1, 200, 0.056812
127.0.0.1, 2018-04-19 22:03:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.023922
127.0.0.1, 2018-04-19 22:04:47, GET, /, HTTP/1.1, 303, 0.008272
127.0.0.1, 2018-04-19 22:04:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.162383
127.0.0.1, 2018-04-19 22:05:22, GET, /start, HTTP/1.1, 200, 0.227636
127.0.0.1, 2018-04-19 22:05:22, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.002488
